contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
k141_95315||full,1802,68,4998642,13.6037,7.5492
k141_10199||full,1537,58,4998642,11.6032,7.5492
k141_104933||full,1670,63,4998642,12.6034,7.5470
k141_57440||full,822,31,4998642,6.2017,7.5446
k141_24902||full,1168,44,4998642,8.8024,7.5363
k141_149204||full,1091,41,4998642,8.2022,7.5181
k141_84928||full,1039,39,4998642,7.8021,7.5093
k141_165952||full,906,34,4998642,6.8018,7.5076
k141_35490||full,1787,67,4998642,13.4036,7.5006
k141_15047||full,3472,130,4998642,26.0071,7.4905
k141_15942||full,1496,56,4998642,11.2030,7.4887
k141_136134||full,1416,53,4998642,10.6029,7.4879
k141_175078||full,1444,54,4998642,10.8029,7.4813
k141_85869||full,1608,60,4998642,12.0033,7.4647
k141_112476||full,2466,92,4998642,18.4050,7.4635
k141_143180||full,2252,84,4998642,16.8046,7.4621
k141_91038||full,2306,86,4998642,17.2047,7.4608
k141_44269||full,1046,39,4998642,7.8021,7.4590
k141_147569||full,3031,113,4998642,22.6061,7.4583
k141_74061||full,1208,45,4998642,9.0024,7.4524
k141_135824||full,1316,49,4998642,9.8027,7.4488
k141_18911||full,1585,59,4998642,11.8032,7.4468
k141_139||full,1747,65,4998642,13.0035,7.4433
k141_139378||full,1398,52,4998642,10.4028,7.4412
k141_172860||full,1587,59,4998642,11.8032,7.4374
k141_65999||full,1104,41,4998642,8.2022,7.4296
k141_72878||full,1185,44,4998642,8.8024,7.4282
k141_6108||full,2828,105,4998642,21.0057,7.4278
k141_54335||full,2910,108,4998642,21.6059,7.4247
k141_67572||full,1644,61,4998642,12.2033,7.4229
k141_95183||full,1105,41,4998642,8.2022,7.4228
k141_126363||full,1618,60,4998642,12.0033,7.4186
k141_69945||full,1052,39,4998642,7.8021,7.4165
k141_36733||full,2401,89,4998642,17.8048,7.4156
k141_84564||full,1484,55,4998642,11.0030,7.4144
k141_4697||full,1053,39,4998642,7.8021,7.4094
k141_47170||full,2539,94,4998642,18.8051,7.4065
k141_180564||full,1731,64,4998642,12.8035,7.3966
k141_80240||full,1136,42,4998642,8.4023,7.3964
k141_155215||full,1028,38,4998642,7.6021,7.3950
k141_25310||full,1461,54,4998642,10.8029,7.3942
k141_176962||full,3089,114,4998642,22.8062,7.3830
k141_58467||full,2222,82,4998642,16.4045,7.3827
k141_14275||full,2983,110,4998642,22.0060,7.3771
k141_137024||full,1763,65,4998642,13.0035,7.3758
k141_123222||full,1736,64,4998642,12.8035,7.3753
k141_170125||full,1711,63,4998642,12.6034,7.3661
k141_134224||full,2771,102,4998642,20.4055,7.3640
k141_23186||full,951,35,4998642,7.0019,7.3627
k141_78729||full,1988,73,4998642,14.6040,7.3461
k141_79441||full,1008,37,4998642,7.4020,7.3433
k141_25837||full,1935,71,4998642,14.2039,7.3405
