contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
NODE_4663_length_1151_cov_1.449818||full,1149,40,4998642,8.0022,6.9645
NODE_4574_length_1157_cov_1.489111||full,1154,40,4998642,8.0022,6.9343
NODE_3124_length_1281_cov_1.168026||full,1281,44,4998642,8.8024,6.8715
NODE_5394_length_1103_cov_1.584924||full,1055,36,4998642,7.2020,6.8265
NODE_6725_length_1040_cov_1.408122||full,1039,35,4998642,7.0019,6.7391
NODE_5908_length_1077_cov_1.268102||full,1074,36,4998642,7.2020,6.7057
NODE_3271_length_1264_cov_1.328371||full,1124,37,4998642,7.4020,6.5854
NODE_5707_length_1086_cov_1.526673||full,958,31,4998642,6.2017,6.4736
NODE_2698_length_1332_cov_1.432263||full,1329,42,4998642,8.4023,6.3223
NODE_5795_length_1082_cov_1.383642||full,1021,32,4998642,6.4017,6.2701
NODE_4277_length_1178_cov_1.243099||full,738,23,4998642,4.6012,6.2348
NODE_2241_length_1402_cov_1.198218||full,1130,34,4998642,6.8018,6.0193
NODE_6078_length_1068_cov_1.354393||full,1065,32,4998642,6.4017,6.0110
NODE_3501_length_1240_cov_1.274262||full,1240,37,4998642,7.4020,5.9694
NODE_6314_length_1057_cov_1.453094||full,980,29,4998642,5.8016,5.9200
NODE_2203_length_1407_cov_1.278846||full,1405,41,4998642,8.2022,5.8379
NODE_3900_length_1207_cov_1.001736||full,1205,35,4998642,7.0019,5.8107
NODE_4032_length_1196_cov_1.359334||full,1174,33,4998642,6.6018,5.6233
NODE_7281_length_1018_cov_1.248183||full,961,27,4998642,5.4015,5.6207
NODE_3085_length_1285_cov_1.267480||lt2gene,1285,36,4998642,7.2020,5.6046
NODE_7232_length_1020_cov_1.147150||full,1020,27,4998642,5.4015,5.2956
NODE_4592_length_1156_cov_1.211626||lt2gene,1156,30,4998642,6.0016,5.1917
NODE_4533_length_1160_cov_1.214480||full,1158,30,4998642,6.0016,5.1828
NODE_2259_length_1399_cov_1.097470||full,1398,36,4998642,7.2020,5.1516
NODE_7098_length_1026_cov_1.129763||full,911,23,4998642,4.6012,5.0508
NODE_2982_length_1297_cov_1.221417||full,1161,29,4998642,5.8016,4.9971
NODE_6113_length_1067_cov_1.217391||full,985,24,4998642,4.8013,4.8744
NODE_5712_length_1086_cov_1.091174||full,437,10,4998642,2.0005,4.5779
NODE_5770_length_1083_cov_1.194553||full,1030,22,4998642,4.4012,4.2730
NODE_5584_length_1093_cov_1.033719||full,1091,23,4998642,4.6012,4.2175
NODE_6081_length_1068_cov_0.989141||full,1065,17,4998642,3.4009,3.1934
NODE_5382_length_1104_cov_1.022879||full,1101,16,4998642,3.2009,2.9072
